 rho 140 T 70 
1e-14 1.0 0.28123777699234376 0.027044975000577377
1e-14 1.2589254117941673 0.3246740886631998 0.036808037150855503
1e-14 1.5848931924611138 0.37273062326692585 0.049498748161850945
1e-14 1.9952623149688804 0.4263139470273113 0.06576465422239394
1e-14 2.5118864315095815 0.4864617024575698 0.08656743254371714
1e-14 3.1622776601683817 0.5544057277939035 0.11347722363205281
1e-14 3.9810717055349754 0.6316199449804144 0.1488103456524614
1e-14 5.011872336272727 0.7197930691198012 0.19532964758999943
1e-14 6.30957344480194 0.8207503417559321 0.2556468383781269
1e-14 7.943282347242826 0.9364768262285533 0.33195473454124813
1e-14 10.000000000000016 1.069317113111748 0.42646260800927416
1e-14 12.589254117941694 1.2223302951234722 0.5421559688923833
1e-14 15.848931924611158 1.3996823666728502 0.6836329363007937
1e-14 19.95262314968883 1.6069238604696077 0.8572792329091274
1e-14 25.11886431509585 1.8505684692443805 1.0704120398397539
1e-14 31.622776601683857 2.136505596042057 1.3289955286205888
1e-14 39.81071705534981 2.4663312816635425 1.6335689801041087
1e-14 50.11872336272735 2.8322104146591225 1.9746656424528954
1e-14 63.09573444801949 3.216678624615193 2.3328952081590453
1e-14 79.43282347242838 3.603626100518701 3.222839923242312
1e-14 100.00000000000031 3.9919159169910388 6.047707998568528
1e-14 125.89254117941714 4.142711928748602 18.32898734328802
1e-14 158.4893192461119 3.4058619273776873 14.538064107223098
1e-14 199.5262314968887 3.651002489573581 36.69156491136226
1e-14 251.18864315095874 3.8188893638221093 28.640495777311607
1e-14 316.2277660168389 3.9229598675237214 15.758160904701132
1e-14 398.1071705534986 4.019519717428045 17.485189679243792
1e-14 501.18723362727405 1.5204333269910912 24.360054450599467
1e-14 630.9573444801956 1.6092896543492508 11.869939399386165
1e-14 794.3282347242846 1.1357620126276438 10.265531417577726
1e-14 1000.0000000000041 1.2344244658733248 9.480688934666231
1e-14 1258.9254117941725 0.00433924901230358 6.820547418592404
1e-14 1584.8931924611206 0.02507474668873233 5.98562426210059
1e-14 1995.262314968889 0.04206689913802933 2.7198232442845143
1e-14 2511.8864315095925 0.00017481477213410464 0.8467892289938986
1e-14 3162.2776601683954 0.00019027064847957836 0.4260320250630619
1e-14 3981.0717055349937 0.0005002866632498745 0.012898940351723596
1e-14 5011.8723362727505 0.010823456673444075 3.518376548783498
1e-14 6309.573444801968 0.23416018274615294 959.6891846159683
1e-14 7943.282347242862 0.3149636018354708 437.3078592694067
1e-14 10000.000000000062 0.31874253758480114 244.5977710731329
1e-14 12589.254117941739 0.3489596226355488 1017.2354150652192
1e-14 15848.931924611239 0.353023069052802 3962.4575947303847
1e-14 19952.62314968891 0.35702848779005597 13004.04763346926
1e-14 25118.864315095976 0.3724135209648346 13380.594977410183
1e-14 31622.77660168399 0.3797466590192885 1765.7785216397335
1e-14 39810.71705535002 0.38102291655019677 2175.115983399362
1e-14 50118.72336272756 0.37581727255327246 527.8534516199484
1e-14 63095.734448019684 0.3814225339000238 506.3136829272067
1e-14 79432.8234724287 0.42459596432466895 235.13978891443637
1e-14 100000.00000000061 0.5529356803292513 254.93165197296796
1e-14 125892.54117941765 0.6275498600939486 301.7372861010735
1e-14 158489.3192461124 0.5232313301388443 137.07589323434104
1e-14 199526.23149688952 0.39877297662079975 45.20483871636413
1e-14 251188.64315095975 0.3411129889631042 6.370834846083035
1e-14 316227.7660168405 0.33281341122907304 2.3867451774937916
1e-14 398107.1705535002 0.3323767892817103 1.8226827681127142
1e-14 501187.2336272766 0.3336134389253368 2.9465554727986714
1e-14 630957.3444801981 0.3339757906438985 3.9985082815494484
1e-14 794328.2347242887 0.3308436730631838 0.548462168307529
1e-14 1000000.0000000081 0.329062222323995 0.004123173138254276
1e-14 1258925.4117941791 0.3287914479517921 0.00022005569589847598
1e-14 1584893.1924611272 0.3285131333701214 3.7484452908319784e-06
1e-14 1995262.3149688991 0.3282317542941847 8.923175960910528e-07
1e-14 2511886.431509603 0.3278284438532147 1.5072074507804886e-07
1e-14 3162277.660168405 0.3272120027883718 2.253677496507658e-06
1e-14 3981071.70553501 0.3266880561727411 1.3675656268011401e-06
1e-14 5011872.336272766 0.32605508865884403 1.9231181643333084e-07
1e-14 6309573.444801995 0.3251299177181679 2.0080900236050153e-08
1e-14 7943282.347242886 0.32371899679143534 1.7744411780508817e-09
1.2589254117941662e-14 1.0 0.2812377769923437 0.02704497500057738
1.2589254117941662e-14 1.2589254117941673 0.32467408866319963 0.036808037150855503
1.2589254117941662e-14 1.5848931924611138 0.37273062326692585 0.04949874816185093
1.2589254117941662e-14 1.9952623149688804 0.4263139470273112 0.06576465422239397
1.2589254117941662e-14 2.5118864315095815 0.48646170245756987 0.08656743254371714
1.2589254117941662e-14 3.1622776601683817 0.5544057277939035 0.11347722363205281
1.2589254117941662e-14 3.9810717055349754 0.6316199449804143 0.1488103456524614
1.2589254117941662e-14 5.011872336272727 0.7197930691198012 0.19532964758999943
1.2589254117941662e-14 6.30957344480194 0.820750341755932 0.2556468383781268
1.2589254117941662e-14 7.943282347242826 0.9364768262285533 0.33195473454124813
1.2589254117941662e-14 10.000000000000016 1.069317113111748 0.42646260800927416
1.2589254117941662e-14 12.589254117941694 1.2223302951234722 0.5421559688923833
1.2589254117941662e-14 15.848931924611158 1.3996823666728495 0.6836329363007937
1.2589254117941662e-14 19.95262314968883 1.6069238604696077 0.8572792329091278
1.2589254117941662e-14 25.11886431509585 1.8505684692443805 1.0704120398397534
1.2589254117941662e-14 31.622776601683857 2.136505596042058 1.3289955286205881
1.2589254117941662e-14 39.81071705534981 2.4663312816635425 1.6335689801041098
1.2589254117941662e-14 50.11872336272735 2.8322104146591225 1.9746656424528954
1.2589254117941662e-14 63.09573444801949 3.2166786246151946 2.332895208159043
1.2589254117941662e-14 79.43282347242838 3.6036261005187 3.222839923242312
1.2589254117941662e-14 100.00000000000031 3.9919159169910388 6.047707998568528
1.2589254117941662e-14 125.89254117941714 4.360806457448916 18.514266907312162
