 rho 140 T 70 
1e-14 1.0 0.00037391603262455905 0.0006754946437352812
1e-14 1.2589254117941673 0.0005603800610453252 0.0010326397774805668
1e-14 1.5848931924611138 0.0008438839862675479 0.001568482609565604
1e-14 1.9952623149688804 0.001274164605026326 0.002367397491936506
1e-14 2.5118864315095815 0.0019252276342702909 0.0035724867106970938
1e-14 3.1622776601683817 0.0029094053163843505 0.0054440976093774705
1e-14 3.9810717055349754 0.004403158956935619 0.00844179408793185
1e-14 5.011872336272727 0.0066909553700065846 0.013301239245818218
1e-14 6.30957344480194 0.01023370851986319 0.021127394358828253
1e-14 7.943282347242826 0.015771491931278428 0.033618387901325535
1e-14 10.000000000000016 0.024486014694597106 0.05363033291772413
1e-14 12.589254117941694 0.03828086296784681 0.08646162114958537
1e-14 15.848931924611158 0.06028023296880439 0.14261533582250052
1e-14 19.95262314968883 0.09575580472522859 0.24279346809639
1e-14 25.11886431509585 0.15380959104297062 0.4238693760834552
1e-14 31.622776601683857 0.2503276105441447 0.7402623084924987
1e-14 39.81071705534981 0.4128599977096591 1.248128606016813
1e-14 50.11872336272735 0.6874461568572883 1.971512076862461
1e-14 63.09573444801949 1.1454546222915947 2.881365615409044
1e-14 79.43282347242838 1.8831696496099555 3.9815695759376957
1e-14 100.00000000000031 3.0042422830430366 5.3995765181724735
1e-14 125.89254117941714 4.325019593581089 7.464976086434077
1e-14 158.4893192461119 4.7552272540028735 10.95906981686264
1e-14 199.5262314968887 6.4310032100845635 10.2976148771118
1e-14 251.18864315095874 7.98012119667256 10.312970141911922
1e-14 316.2277660168389 9.187736544458573 9.030945178574056
1e-14 398.1071705534986 10.118754030848528 9.203714067843292
1e-14 501.18723362727405 4.237678226446402 6.0373561137215574
1e-14 630.9573444801956 4.6262469598929155 3.769794080880523
1e-14 794.3282347242846 3.1119545769954584 2.9607029031833014
1e-14 1000.0000000000041 3.4850464387066413 2.841991259878534
1e-14 1258.9254117941725 0.0006568302079647057 0.8583749823141614
1e-14 1584.8931924611206 0.0031687815816650133 0.6665271385976657
1e-14 1995.262314968889 0.0049059846330751795 0.30025475061601065
1e-14 2511.8864315095925 1.92552944771156e-05 0.08452134522150756
1e-14 3162.2776601683954 5.8080454139979176e-05 0.03507657077032357
1e-14 3981.0717055349937 0.00011061711117195699 0.0003490011976733477
1e-14 5011.8723362727505 0.005142809468131938 0.22960374578503306
1e-14 6309.573444801968 0.23909944107396047 151.05357970275873
1e-14 7943.282347242862 0.3231261970476599 53.30887138006529
1e-14 10000.000000000062 0.32667463393910273 28.338541454650986
1e-14 12589.254117941739 0.34939490557991554 115.71335668357662
1e-14 15848.931924611239 0.3477069409284716 445.74098639234046
1e-14 19952.62314968891 0.35208656436905905 1459.515059365858
1e-14 25118.864315095976 0.36506628992888207 1501.840244264541
1e-14 31622.77660168399 0.3703604194128163 198.64583743695866
1e-14 39810.71705535002 0.37072547972449155 239.6648601343628
1e-14 50118.72336272756 0.36917778402276213 59.56717766039569
1e-14 63095.734448019684 0.37057667076775763 56.766770515840975
1e-14 79432.8234724287 0.38902697684826554 26.2338752977656
1e-14 100000.00000000061 0.4457752278644578 28.56349431952994
1e-14 125892.54117941765 0.4723093193360847 33.80406780764451
1e-14 158489.3192461124 0.4267495743156441 15.357121702115858
1e-14 199526.23149688952 0.3757220524106086 5.064438325632852
1e-14 251188.64315095975 0.35314431548060415 0.7137393031014181
1e-14 316227.7660168405 0.34886868372629276 0.2673972333105321
1e-14 398107.1705535002 0.34773675167729523 0.2041969755050358
1e-14 501187.2336272766 0.34809406368777307 0.3301071380426468
1e-14 630957.3444801981 0.34844670009061735 0.44796917267527386
1e-14 794328.2347242887 0.346016512968608 0.061446473972022714
1e-14 1000000.0000000081 0.3450105778191578 0.00046193263399854796
1e-14 1258925.4117941791 0.34475684763787234 2.4654240661303096e-05
1e-14 1584893.1924611272 0.3444482757865814 4.2026650751266566e-07
1e-14 1995262.3149688991 0.3441440442098357 1.0016177731897292e-07
1e-14 2511886.431509603 0.3437150161983489 1.7005684874108202e-08
1e-14 3162277.660168405 0.3430367859920613 2.525662281782844e-07
1e-14 3981071.70553501 0.34236844668541483 1.5325812462861775e-07
1e-14 5011872.336272766 0.341692063719471 2.157413239372804e-08
1e-14 6309573.444801995 0.3407235341423489 2.2676201133256932e-09
1e-14 7943282.347242886 0.339252018451597 2.098984117307624e-10
1.2589254117941662e-14 1.0 0.00037391603262455883 0.0006754946437352816
1.2589254117941662e-14 1.2589254117941673 0.0005603800610453256 0.001032639777480567
1.2589254117941662e-14 1.5848931924611138 0.0008438839862675479 0.001568482609565604
1.2589254117941662e-14 1.9952623149688804 0.001274164605026326 0.002367397491936506
1.2589254117941662e-14 2.5118864315095815 0.0019252276342702909 0.003572486710697094
1.2589254117941662e-14 3.1622776601683817 0.002909405316384349 0.00544409760937747
1.2589254117941662e-14 3.9810717055349754 0.004403158956935619 0.00844179408793185
1.2589254117941662e-14 5.011872336272727 0.0066909553700065846 0.013301239245818218
1.2589254117941662e-14 6.30957344480194 0.01023370851986319 0.02112739435882825
1.2589254117941662e-14 7.943282347242826 0.015771491931278428 0.033618387901325535
1.2589254117941662e-14 10.000000000000016 0.024486014694597106 0.05363033291772413
1.2589254117941662e-14 12.589254117941694 0.03828086296784681 0.08646162114958537
1.2589254117941662e-14 15.848931924611158 0.060280232968804366 0.14261533582250047
1.2589254117941662e-14 19.95262314968883 0.09575580472522859 0.24279346809638988
1.2589254117941662e-14 25.11886431509585 0.15380959104297054 0.4238693760834552
1.2589254117941662e-14 31.622776601683857 0.2503276105441446 0.7402623084924984
1.2589254117941662e-14 39.81071705534981 0.4128599977096591 1.248128606016813
1.2589254117941662e-14 50.11872336272735 0.6874461568572886 1.971512076862459
1.2589254117941662e-14 63.09573444801949 1.1454546222915947 2.881365615409041
